domain_or_construct,instrument_we_have_assumed,informant_we_have_assumed,waves_or_ages_we_have_assumed,our_confidence,our_source,our_note,CONFIRM_correct?,CORRECTION_instrument,CORRECTION_informant,CORRECTION_waves,anxiety_or_internalising_threshold_used,item_level_data_available?,comments
Depressive symptoms,,adolescent self-report,"1, 2, 3",verified,10.1017/S0954579423000895,,,,,,,,
Emotional symptoms,,adolescent self-report,"1, 2, 3",unverified,10.1017/S0954579423000895,Application Table B1 states SDQ Emotional Symptoms. The instrument is NOT named in the sources located; flagged for custodian confirmation.,,,,,,,
Self-esteem,,adolescent self-report,"1, 2, 3",verified,10.1017/S0954579423000895,,,,,,,,
Self-efficacy,,adolescent self-report,"1, 2, 3",verified,10.1017/S0954579423000895,,,,,,,,
Academic achievement,,school records,"1, 2, 3",verified,10.1017/S0954579423000895,,,,,,,,
School engagement,,teacher rating,"1, 2, 3",verified,10.1017/S0954579423000895,,,,,,,,
Absenteeism,,school records,"1, 2, 3",verified,10.1017/S0954579423000895,,,,,,,,
Conduct problems,,teacher rating,"1, 2, 3",verified,10.1017/S0954579423000895,,,,,,,,
Peer likeability / acceptance-rejection,,peer sociometric nominations,"1, 2, 3",verified,10.1017/S0954579423000895,,,,,,,,
Personal identity,,adolescent self-report,"1, 2, 3",verified,10.1017/S0954579423000895,,,,,,,,
National acculturation,,adolescent self-report,"1, 2, 3",verified,10.1017/S0954579423000895,,,,,,,,
Ethnic acculturation,,adolescent self-report,"1, 2, 3",verified,10.1017/S0954579423000895,,,,,,,,
National identity,,adolescent self-report,"1, 2, 3",verified,10.1017/S0954579423000895,,,,,,,,
Ethnic identity,,adolescent self-report,"1, 2, 3",verified,10.1017/S0954579423000895,,,,,,,,
Perceived ethnic discrimination,,adolescent self-report,"1, 2, 3",verified,10.1017/S0954579423000895,,,,,,,,
Big Five personality traits,,adolescent self-report,"1, 2, 3",verified,10.1177/08902070221127386,Verified for the 2013 cohort.,,,,,,,
Emotion regulation,,adolescent self-report,"1, 2, 3",reported,10.1017/S0954579423000895,,,,,,,,
Stressful life events,,adolescent self-report,"1, 2, 3",reported,10.1017/S0954579423000895,,,,,,,,
Economic hardship / socioeconomic adversity,,adolescent self-report,"1, 2, 3",reported,10.1017/S0954579423000895,,,,,,,,
Parenting and parent-adolescent relationship,,adolescent self-report,"1, 2, 3",reported,10.1017/S0954579423000895,"Reported by adolescents, not by parents as independent informants.",,,,,,,
