construct,construct_label,core,role,cohort,cohort_number,status,n_variables,instruments_matched,evidence_tier,reason,waves_with_data,supplementary_sessions_with_data
ai_interaction,AI interaction (both sides of the exchange),False,mechanism,abcd,2,non_harmonisable,0,,official_dictionary,"No slow-clock cohort measures interaction with a conversational AI. This is what WP3 adds, and its absence here is the empirical basis for that claim rather than an assumption.",0.0,0.0
ai_interaction,AI interaction (both sides of the exchange),False,mechanism,astra,5,non_harmonisable,0,,reconstructed,"No slow-clock cohort measures interaction with a conversational AI. This is what WP3 adds, and its absence here is the empirical basis for that claim rather than an assumption.",0.0,0.0
ai_interaction,AI interaction (both sides of the exchange),False,mechanism,lsac,1,non_harmonisable,0,,official_dictionary,"No slow-clock cohort measures interaction with a conversational AI. This is what WP3 adds, and its absence here is the empirical basis for that claim rather than an assumption.",0.0,0.0
ai_interaction,AI interaction (both sides of the exchange),False,mechanism,tess,3,non_harmonisable,0,,published_profile,"No slow-clock cohort measures interaction with a conversational AI. This is what WP3 adds, and its absence here is the empirical basis for that claim rather than an assumption.",0.0,0.0
ai_interaction,AI interaction (both sides of the exchange),False,mechanism,ttm,4,non_harmonisable,0,,official_dictionary,"No slow-clock cohort measures interaction with a conversational AI. This is what WP3 adds, and its absence here is the empirical basis for that claim rather than an assumption.",0.0,0.0
anx_caseness,Anxiety caseness and transition status,True,outcome,abcd,2,direct,1163,cbcl; ksads,official_dictionary,,8.0,16.0
anx_caseness,Anxiety caseness and transition status,True,outcome,astra,5,absent,0,,reconstructed,,0.0,0.0
anx_caseness,Anxiety caseness and transition status,True,outcome,lsac,1,direct,7,scas_cas8,official_dictionary,,9.0,1.0
anx_caseness,Anxiety caseness and transition status,True,outcome,tess,3,direct,2,papa_capa,published_profile,,6.0,0.0
anx_caseness,Anxiety caseness and transition status,True,outcome,ttm,4,direct,11,scas_cas8,official_dictionary,,5.0,1.0
anx_symptoms,Anxiety symptoms (continuous severity),True,outcome,abcd,2,direct,1315,cbcl; ksads,official_dictionary,,8.0,23.0
anx_symptoms,Anxiety symptoms (continuous severity),True,outcome,astra,5,partial,1,,reconstructed,,3.0,0.0
anx_symptoms,Anxiety symptoms (continuous severity),True,outcome,lsac,1,direct,69,scas_cas8,official_dictionary,,10.0,1.0
anx_symptoms,Anxiety symptoms (continuous severity),True,outcome,tess,3,direct,2,papa_capa,published_profile,,6.0,0.0
anx_symptoms,Anxiety symptoms (continuous severity),True,outcome,ttm,4,direct,17,scas_cas8,official_dictionary,,5.0,1.0
digital_exposure_broad,Broad digital exposure,True,predictor,abcd,2,partial,255,,official_dictionary,,8.0,8.0
digital_exposure_broad,Broad digital exposure,True,predictor,astra,5,absent,0,,reconstructed,,0.0,0.0
digital_exposure_broad,Broad digital exposure,True,predictor,lsac,1,partial,2,,official_dictionary,,10.0,3.0
digital_exposure_broad,Broad digital exposure,True,predictor,tess,3,partial,1,,published_profile,,6.0,0.0
digital_exposure_broad,Broad digital exposure,True,predictor,ttm,4,partial,4,phq,official_dictionary,,5.0,1.0
digital_function_avoidance,Digital function: avoidance and substitution,False,mechanism,abcd,2,non_harmonisable,0,,official_dictionary,Using a digital channel to avoid or substitute for in-person contact is not distinguished from ordinary use in any slow-clock cohort's items.,0.0,0.0
digital_function_avoidance,Digital function: avoidance and substitution,False,mechanism,astra,5,non_harmonisable,0,,reconstructed,Using a digital channel to avoid or substitute for in-person contact is not distinguished from ordinary use in any slow-clock cohort's items.,0.0,0.0
digital_function_avoidance,Digital function: avoidance and substitution,False,mechanism,lsac,1,non_harmonisable,0,,official_dictionary,Using a digital channel to avoid or substitute for in-person contact is not distinguished from ordinary use in any slow-clock cohort's items.,0.0,0.0
digital_function_avoidance,Digital function: avoidance and substitution,False,mechanism,tess,3,non_harmonisable,0,,published_profile,Using a digital channel to avoid or substitute for in-person contact is not distinguished from ordinary use in any slow-clock cohort's items.,0.0,0.0
digital_function_avoidance,Digital function: avoidance and substitution,False,mechanism,ttm,4,non_harmonisable,0,,official_dictionary,Using a digital channel to avoid or substitute for in-person contact is not distinguished from ordinary use in any slow-clock cohort's items.,0.0,0.0
