claim_id,source,assertion,verdict,evidence,note
B1-C3-N,methods / Table B1 cohort 3 vs impact / A4 item 1,"TESS N is approximately 1,000 (methods) / approximately 1,250 (impact).",MISMATCH,"Both figures are defensible and describe different things. The cohort profile reports 3,456 invited, 1,250 drawn and 997 participating at wave 1. Label them and the inconsistency between the two components disappears.",
B1-note-objective-sleep,methods / Table B1 note,Sleep and physical activity are collected by report in all six cohorts and objectively by wearables in cohorts 1 (CheckPoint actigraphy at ~12 y) and 2 (Fitbit substudy).,MISMATCH,"Understates the set by one cohort, on published evidence alone. Cohort 3 collects hip-mounted ActiGraph GT3X over seven nights at seven waves, ages 6 to 18 (Kuldas et al. 2025, Sleep 48(12):zsaf221, n = 880 analytic; doi:10.1093/sleep/zsaf221) — the longest objective sleep series in the project, against a single CheckPoint occasion in cohort 1 and a substudy in cohort 2, and it sits in the cohort with the diagnostic anxiety phenotype. Sleep is the application's named leading modifiable mechanism and its stated objective bridge to WP2 stream 3. One qualification, also published: DURATION is the only sleep variable derived in any of these papers. Sleep TIMING and night-to-night IRREGULARITY, both named in WP1's predictor list, are not derived — Ranum et al. 2021 (Nat Sci Sleep 13:163-175) states in its limitations that ""sleep quality, timing, night-to-night variability in sleep duration, sleep architecture, and sleep problems were not accounted for"". They are derivable rather than absent, because per-night bedtime and rise time were manually set by inspecting each measurement (Ranum et al. 2020, Pediatr Res 88(1):110-116, doi:10.1038/s41390-020-0768-y). Component B should say derivable, not held, for this cohort.",
B2-S0-reporter-recorded,methods / Table B2 step 0,The data dictionary step records the reporter for every measure.,MISMATCH,"informant missing on construct-matched rows: lsac:2157 rows. Single-informant by design in ttm: the dictionary carries no informant column, so it is set from the study design and recorded as such rather than read from a cell",
B2-S3-tess-data-egress,methods / Table B2 step 3,Item-level data enter one multi-group model to yield a latent severity score per participant.,MISMATCH,"Step 3 as written implies pooling participant records. Confirm each cohort's data-access conditions before specifying it: where individual records cannot leave a custodian's secure environment, the model has to be fitted there or federated, exchanging model quantities rather than records. Answered explicitly this is a strength, because it demonstrates the harmonisation works without centralising participant data. A reviewer familiar with European cohort governance will ask.",
B2-S3-worked-example,methods / Table B2 step 3 worked example,"LSAC SCAS items and ABCD K-SADS and CBCL anxiety indicators enter one multi-group model, yielding a latent severity score for joint analysis.",MISMATCH,"shared instruments: gad7; items per shared instrument: gad7: lsac=4, abcd=1; verdict inference_harmonisation_only; shared instrument held by both, but fewer than 3 items on one side (gad7: lsac=4, abcd=1). Pairs that DO share an anchorable item bank: lsac-ttm on gad7; scas_cas8 (6 candidates)","Worth checking before submission. LSAC's published dictionary contains no CBCL variable at all, and the strongest shared anxiety instrument in the whole set is the SCAS, which LSAC shares with Ten to Men rather than with ABCD. The worked example may be more persuasive if it uses the pair that actually shares an item bank."
B2-S4-informant-agreement-withdrawal,"methods / Table B2 step 4, and WP1 primary predictors",Social withdrawal is comparable across cohorts as a WP1 predictor.,MISMATCH,no informant type is common to all cohorts holding 'withdrawal_fearful' — abcd: parent/self; tess: teacher. Step 4 requires these strata to be analysed separately or the informant carried as a covariate. Informant not recorded at all for lsac,"TESS measures the fearful subtype by teacher rating (Child Social Preference Scale, Conflicted Shyness, ages 6-14; Stenseng et al. 2022, doi:10.1111/bjep.12504) where the Australian cohorts use self- and parent-report. Step 4 already forbids treating one cohort's informant as another's, so this needs stating for withdrawal exactly as the document already states it for anxiety."
B2-S4-withdrawal-subtypes-not-pooled,methods / WP1 primary predictors,Social withdrawal is one predictor.,MISMATCH,"'withdrawal_fearful' and 'withdrawal_unsociable' are declared non-interchangeable and are mapped separately. Holding only 'withdrawal_fearful': lsac, tess; only 'withdrawal_unsociable': none; both: abcd. A cohort holding only one cannot contribute to a pooled estimate of the other","It is two. The Child Social Preference Scale separates fearfully inhibited social approach from a non-fearful preference for solitude, and only the first is anxiety-relevant. Naming the subtype sharpens the WP1 claim from ""spends time alone"" to ""fearfully inhibited social approach"", and TESS holds precisely that dimension."
B2-S5-support-seeking-partial,methods / Table B2 step 5,Support seeking through a digital channel is absent from the slow-clock cohorts.,MISMATCH,"the construct IS measured in lsac (18 variables), ttm (14 variables). Examples — lsac: hhs55k; hhs55l; hhs55k1; ttm: bhxadvweba; bbhghsq06g; bbhghsq12g","This one is worth acting on. LSAC asks at 14/15 and 16/17 y whether the young person sought help from the internet or a phone help line, and Ten to Men and LSIC ask the same in a comparable form. That is a coarse binary source endorsement rather than the maintaining mechanism, so it cannot substitute for WP2 and WP3 — but it is a harmonisable cross-cohort proxy for digital help seeking, and claiming its absence understates what three cohorts already hold."
WP1-no-missing-variable,methods / WP1 note,A replicated WP1 signature never requires a variable a cohort does not hold.,MISMATCH,core construct not found for ttm:withdrawal_fearful,
A4-TESS-applevel,impact / A4 item 1,TESS holds app-level time-stamped digital use.,UNVERIFIABLE,"No public source establishes app-level capture at this granularity. The six-wave social media paper (doi:10.1007/s10964-026-02362-5) reports checking frequency, activity and screen time ""assessed using interviews and objective measures"" without specifying what the objective measure is. The study team holds further detail and has agreed the wording to use; ""time-stamped"" should not survive into Component A in any case, since the measure is aggregate rather than event-level.",
